waiting_NS,waiting_EW,label
0,1,EW
2,0,NS
0,3,EW
2,0,NS
0,3,EW
3,0,NS
0,3,EW
1,0,NS
0,3,EW
4,0,NS
0,1,EW
0,0,NS
0,2,EW
3,0,NS
0,3,EW
1,0,NS
0,2,EW
1,0,NS
0,5,EW
2,0,NS
0,3,EW
3,0,NS
0,5,EW
3,0,NS
0,3,EW
2,0,NS
0,1,EW
1,0,NS
0,2,EW
3,0,NS
0,4,EW
5,0,NS
0,0,EW
0,0,NS
0,0,EW
0,0,NS
0,0,EW
0,0,NS
0,0,EW
0,0,NS
0,0,EW
0,0,NS
0,0,EW
0,0,NS
0,0,EW
0,0,NS
0,0,EW
0,0,NS
0,0,EW
0,0,NS
0,0,EW
0,0,NS
0,0,EW
0,0,NS
0,1,EW
4,0,NS
0,1,EW
4,0,NS
0,2,EW
4,0,NS
0,5,EW
2,0,NS
0,4,EW
3,0,NS
0,2,EW
5,0,NS
0,3,EW
5,0,NS
0,5,EW
3,0,NS
0,3,EW
1,0,NS
0,5,EW
4,0,NS
0,1,EW
3,0,NS
0,3,EW
4,0,NS
0,2,EW
0,2,EW
3,0,NS
0,4,EW
2,0,NS
0,4,EW
2,0,NS
0,1,EW
1,0,NS
0,3,EW
3,0,NS
0,1,EW
2,0,NS
0,5,EW
4,0,NS
0,1,EW
3,0,NS
0,2,EW
0,3,EW
0,0,NS
0,5,EW
2,0,NS
0,0,NS
1,0,EW
0,2,NS
2,0,EW
0,0,NS
0,0,EW
0,0,NS
2,0,EW
0,0,NS
0,0,EW
0,0,NS
1,0,EW
0,2,NS
3,0,EW
0,2,NS
1,0,EW
0,3,NS
0,0,EW
0,0,NS
0,0,EW
0,1,NS
0,0,EW
0,1,NS
1,0,EW
0,3,NS
4,0,EW
0,2,NS
0,0,EW
0,1,NS
0,0,EW
0,1,NS
0,0,EW
0,1,NS
0,0,EW
0,0,NS
1,0,EW
0,2,NS
1,0,EW
0,1,NS
1,0,EW
0,2,NS
0,0,EW
0,1,NS
1,0,EW
0,1,NS
0,0,EW
0,0,NS
1,0,EW
0,0,NS
0,0,EW
0,0,EW
0,1,NS
0,2,NS
0,0,NS
2,0,EW
2,0,EW
0,0,EW
0,0,NS
0,0,NS
3,0,EW
0,0,EW
0,0,NS
0,1,NS
0,0,NS
0,0,EW
0,0,NS
0,1,NS
0,0,EW
0,1,NS
2,0,EW
0,0,EW
0,1,NS
0,0,EW
0,0,NS
0,0,EW
0,1,NS
0,0,EW
0,1,NS
1,0,EW
0,0,EW
0,0,EW
0,1,NS
0,0,EW
0,1,NS
1,0,EW
1,0,EW
1,0,EW
0,0,EW
0,1,NS
2,0,EW
0,0,EW
0,0,EW
0,0,NS
1,0,EW
0,0,NS
1,0,EW
0,0,NS
0,0,EW
0,2,NS
4,0,EW
0,5,NS
4,0,EW
3,2,NS
1,3,NS
8,0,EW
0,3,NS
5,0,EW
2,1,NS
5,0,EW
1,0,EW
0,2,NS
0,0,EW
0,1,NS
1,0,EW
0,1,NS
1,0,EW
0,1,NS
1,0,EW
1,0,EW
0,3,NS
0,2,NS
2,0,EW
2,0,EW
0,0,EW
0,0,NS
1,0,EW
0,0,NS
0,2,NS
1,0,EW
0,0,EW
1,0,EW
0,0,EW
0,0,NS
0,2,NS
1,0,EW
0,2,NS
1,0,EW
0,1,NS
0,2,NS
0,0,NS
0,3,NS
0,4,NS
0,5,NS
0,8,NS
3,9,NS
0,11,NS
0,12,NS
0,13,NS
0,16,NS
2,18,NS
1,18,NS
0,20,NS
0,0,EW
1,0,EW
0,1,NS
0,0,EW
0,0,NS
0,0,NS
0,2,NS
0,0,NS
1,0,EW
0,2,NS
0,0,NS
0,2,NS
0,2,NS
0,4,NS
0,6,NS
0,10,NS
0,12,NS
0,13,NS
1,15,NS
0,3,NS
0,6,NS
2,9,NS
0,11,NS
0,14,NS
4,15,NS
